G1,Toán,Số tự nhiên,"Đếm, đọc, viết các số trong phạm vi 100","Đếm, đọc, viết các số trong phạm vi 10, trong phạm vi 20, trong phạm vi 100.",empty
G1,Toán,Số tự nhiên,"Đếm, đọc, viết các số trong phạm vi 100","Nhận biết được chục và đơn vị, số tròn chục.",empty
G1,Toán,Số tự nhiên,So sánh các số trong phạm vị 100,"Nhận biết được cách so sánh, sắp xếp thứ tự các số trong phạm vi 100 (ở các nhóm có không quá 4 số)",empty
G1,Toán,Các phép tính với các số tự nhiên,"Phép cộng, phép trừ","Nhận biết được ý nghĩa phéo cộng, phép trừ.",empty
G1,Toán,Các phép tính với các số tự nhiên,"Phép cộng, phép trừ","Thực hiện được phép cộng, phéo trừ (không nhớ) các số trong phạm vi 100",empty
G1,Toán,Các phép tính với các số tự nhiên,"Phép cộng, phép trừ","Làm quen với việc thực hiện tính toán trong trường hợp có hai dấu phép tính cộng, trừ (theo thứ tự từ trái sáng phải)",empty
G1,Toán,Các phép tính với các số tự nhiên,Tính nhẩm,"Thực hiện được việc cộng, trừ nhẩm trong phạm vi 10.",empty
G1,Toán,Các phép tính với các số tự nhiên,Tính nhẩm,"Thực hiện được việc cộng, trừ nhẩm các số tròn chục.",empty
G1,Toán,Các phép tính với các số tự nhiên,"Thực hành giải quyết vấn đề liên quan đến các phéo tính cộng, trừ","Nhận biết được ý nghĩa thwucj tiễn của phéo tính (cộng, trừ) thông qua tranh ảnh, hình vẽ hoặc tình huống thực tiễn",empty
G1,Toán,Các phép tính với các số tự nhiên,"Thực hành giải quyết vấn đề liên quan đến các phéo tính cộng, trừ","Nhận biết và viết được phép tính (cộng, trừ) phù hợp với câu trả lời của bài toán có lời văn và tính được kết quả đúng.",empty
G1,Toán,Hình phẳng và hình khối,"Quan sát, nhận biết hình dạng của một số hình phẳng và hình khối đơn giản","Nhận biết được vị trí, định hướng trong không gian: trên- dưới, phải- trái, trước- sau, ở giữa.",empty
G1,Toán,Hình phẳng và hình khối,"Quan sát, nhận biết hình dạng của một số hình phẳng và hình khối đơn giản","Nhận dạng được hình vuông, hình tròn, hình tam giác, hình chữ nhật thông qua việc sử dụng bộ dụng cụ học tập cá nhân hoặc vật thật.",empty
G1,Toán,Hình phẳng và hình khối,"Quan sát, nhận biết hình dạng của một số hình phẳng và hình khối đơn giản","Nhận dạng được khối lập phương, khối hộp chữ nhật thông qua việc sử dụng bộ dụng cụ cá nhân hoặc vật thật",empty
G1,Toán,Hình phẳng và hình khối,"Thực hành lắp ghép, xếp hình gắn với một số hình phẳng và hình khối đơn giản.","Nhận biết và thực hiện được việc lắp ghép, xếp hình gắn với sử dụng bộ dụng cụ học taaoj cá nhân hoặc vật thật.",empty
G1,Toán,Đo lường,Biểu tượng về đại lượng và đơn vị đo đại lượng,"Nhận biết được về ""dài hơn"", ""ngắn hơn""",empty
G1,Toán,Đo lường,Biểu tượng về đại lượng và đơn vị đo đại lượng,Nhận biết được đơn vị đo độ dài:cm (xăng- ti=mét); đọc và viết được số đo độ dài trong phạm vi 100.,empty
G1,Toán,Đo lường,Biểu tượng về đại lượng và đơn vị đo đại lượng,"Nhận biết được mỗi tuần lễ có 7 ngày và gọi tên, thứ tự các ngày trong tuần lễ.",empty
G1,Toán,Đo lường,Biểu tượng về đại lượng và đơn vị đo đại lượng,Nhận biết được giờ đúng trên đồng hồ.,empty
G1,Toán,Đo lường,Thực hành đo đại lượng,"Thực hiện được việc đo và ước lượng độ dài theo đơn vị đo tự quy ước (gang tay, bước chân,...).",empty
G1,Toán,Đo lường,Thực hành đo đại lượng,Thực hiện được việc đo độ dài bằng thước thẳng với đơn vị đo là cm.,empty
G1,Toán,Đo lường,Thực hành đo đại lượng,Thực hiện được việc đọc giờ đúng trên đồng hồ.,empty
G1,Toán,Đo lường,Thực hành đo đại lượng,"Xác định được thứ, ngày trong tuần khi xem lịch (loại lịch tờ hàng ngày).",empty
G1,Toán,Đo lường,Thực hành đo đại lượng,"Giải quyết được một số vấn đề thực tiễn đơn giản liên quan đến đo độ dài, đọc giờ đúng và xem lịch (loại lịch tờ hằng ngày).",empty
G1,Toán,Hoạt động thực hành và trải nghiệm,"Thực hành ứng dụng các kiến thức toán học vào thực tiễn, ","Thực hành đếm, nhận biết số, thực hiện phép tính trong một số tình huống thực tiễn hằng ngày (ví dụ: đếm số bàn học và số cửa sổ trong lớp học,...).",empty
G1,Toán,Hoạt động thực hành và trải nghiệm,"Thực hành ứng dụng các kiến thức toán học vào thực tiễn, ","Thực hành các hoạt động liên quan đến vị trí, định hướng không gian (ví dụ: xác định được một vật ở trên hoặc dưới mặt bàn, một vật cao hơn hoặc thấp hơn vật khác,...).",empty
G1,Toán,Hoạt động thực hành và trải nghiệm,"Thực hành ứng dụng các kiến thức toán học vào thực tiễn, ","Thực hành đo và ước lượng độ dài một số đồ vật trong thực tế gắn với đơn vị đo cm; thực hành đọc giờ đúng trên đồng hồ, xem lịch loại lịch tờ hằng ngày.",empty
G1,Toán,Hoạt động thực hành và trải nghiệm,"Tổ chức các hoạt động ngoài giờ chính khoá (ví dụ: các trò chơi học toán,...) liên quan đến ôn tập, củng cố các kiến thức cơ bản.",empty,empty
G1,Ngữ Văn,Đọc,Kĩ thuật dọc,"Ngồi (hoặc đứng) thẳng lưng; sách, vở mở rộng trên mặt bàn (hoặc trên hai tay). Giữ khoảng cách giữa mắt với sách, vở khoảng 25cm.",empty
G1,Ngữ Văn,Đọc,Kĩ thuật dọc,"Đọc đúng âm, vần, tiếng, từ, câu (có thể đọc chưa thật đúng một số tiếng có vần khó, ít dùng).",empty
G1,Ngữ Văn,Đọc,Kĩ thuật dọc,"Đọc đúng và rõ ràng đoạn văn hoặc văn bản ngắn. Tốc độ đọc khoảng 40 - 60 tiếng trong 1 phút. Biết ngắt hơi ở chỗ có dấu phẩy, dấu kết thúc câu hay ở chỗ kết thúc dòng thơ.",empty
G1,Ngữ Văn,Đọc,Kĩ thuật dọc,Bước đầu biết đọc thầm.,empty
G1,Ngữ Văn,Đọc,Kĩ thuật dọc,Nhận biết được bìa sách và tên sách. ,empty
G1,Ngữ Văn,Đọc,Đọc hiểu,Văn bản văn học Đọc hiểu nội dung,empty
G1,Ngữ Văn,Đọc,Đọc hiểu,"Hỏi và trả lời được những câu hỏi đơn giản liên quan đến các chi tiết được thể hiện tường minh. Trả lời được các câu hỏi đơn giản về nội dung cơ bản của văn bản dựa vào gợi ý, hỗ trợ. Đọc hiểu hình thức",empty
G1,Ngữ Văn,Đọc,Đọc hiểu,"Nhận biết được hình dáng, hành động của nhân vật thể hiện qua một số từ ngữ trong câu chuyện dựa vào gợi ý của giáo viên.",empty
G1,Ngữ Văn,Đọc,Đọc hiểu,"Nhận biết được lời nhân vật trong truyện dựa vào gợi ý của giáo viên. Liên hệ, so sánh, kết nối",empty
G1,Ngữ Văn,Đọc,Đọc hiểu,Liên hệ được tranh minh hoạ với các chi tiết trong văn bản.,empty
G1,Ngữ Văn,Đọc,Đọc hiểu,Nêu được nhân vật yêu thích nhất và bước đầu biết giải thích vì sao. Đọc mở rộng,empty
G1,Ngữ Văn,Đọc,Đọc hiểu,"Trong 1 năm học, đọc tối thiểu 10 văn bản văn học có thể loại và độ dài tương đương với các văn bản đã học.",empty
G1,Ngữ Văn,Đọc,Đọc hiểu,"Thuộc lòng 4 - 5 đoạn thơ hoặc bài thơ đã học, mỗi đoạn thơ, bài thơ có độ dài khoảng 30 - 40 chữ. Văn bản thông tin Đọc hiểu nội dung",empty
G1,Ngữ Văn,Đọc,Đọc hiểu,Hỏi và trả lời được những câu hỏi đơn giản về các chi tiết nổi bật trong văn bản.,empty
G1,Ngữ Văn,Đọc,Đọc hiểu,"Trả lời được câu hỏi: “Văn bản này viết về điều gì?” với sự gợi ý, hỗ trợ. Đọc hiểu hình thức",empty
G1,Ngữ Văn,Đọc,Đọc hiểu,Nhận biết được trình tự của các sự việc trong văn bản.,empty
G1,Ngữ Văn,Đọc,Đọc hiểu,"Hiểu nghĩa của một số tín hiệu đơn giản, gần gũi với học sinh. Đọc mở rộng Trong 1 năm học, đọc tối thiểu 5 văn bản thông tin có kiểu văn bản và độ dài tương đương với các văn bản đã học.",empty
G1,Ngữ Văn,Viết,Kĩ thuật viết,"Biết ngồi viết đúng tư thế: ngồi thẳng lưng; hai chân đặt vuông góc với mặt đất; một tay úp đặt lên góc vở, một tay cầm bút; không tì ngực vào mép bàn; khoảng cách giữa mắt và vở khoảng 25cm; cầm bút bằng ba ngón tay (ngón cái, ngón trỏ, ngón giữa).",empty
G1,Ngữ Văn,Viết,Kĩ thuật viết,"Viết đúng chữ viết thường, chữ số (từ 0 đến 9); biết viết chữ hoa.",empty
G1,Ngữ Văn,Viết,Kĩ thuật viết,"Đặt dấu thanh đúng vị trí. Viết đúng quy tắc các tiếng mở đầu bằng các chữ c, k, g, gh, ng, ngh. Viết đúng chính tả đoạn thơ, đoạn văn có độ dài khoảng 30 - 35 chữ theo các hình thức nhìn - viết (tập chép), nghe - viết. Tốc độ viết khoảng 30 - 35 chữ trong 15 phút. ",empty
